site,url,rouge-1,rouge-L
bnt,https://news.bnt.bg/news/prekratiha-proizvodstvoto-sreshtu-zhena-oplakala-se-ot-shuma-ot-policeisko-strelbishte-1345789news.html,0.1667,0.1667
bnt,https://news.bnt.bg/news/otkriha-martav-viceprezidenta-na-ruskata-darzhavna-petrolna-kompaniya-transneft-1345790news.html,0.0000,0.0000
bnt,https://news.bnt.bg/news/rumen-radev-udostoi-s-pocheten-znak-ministara-na-vanshnite-raboti-na-oman-1345788news.html,0.0000,0.0000
bnt,https://news.bnt.bg/news/zaloviha-nepalnoletni-vav-varnenski-noshtni-zavedeniya-1345786news.html,0.8333,0.8333
bnt,https://news.bnt.bg/news/niskoto-nivo-na-dunav-ne-prechi-na-rabotata-na-aec-kozloduy-1345784news.html,0.0000,0.0000
svobodnaevropa,https://www.svobodnaevropa.bg/a/pravitelstvo-treti-vot-nedoverie-neuspeshen/33463925.html,0.2500,0.2500
svobodnaevropa,https://www.svobodnaevropa.bg/a/radio-svobodna-evropa-komunizam-berlinska-stena/33463913.html,0.5000,0.5000
svobodnaevropa,https://www.svobodnaevropa.bg/a/rusia-talibani-afganistan/33463797.html,0.0000,0.0000
svobodnaevropa,https://www.svobodnaevropa.bg/a/31713980.html,0.0000,0.0000
svobodnaevropa,https://www.svobodnaevropa.bg/a/tri-minuti-byuletin/33463382.html,0.0000,0.0000
standart,https://www.standartnews.com/lifestyle-lyubopitno/shok-krazhba-na-svatbata-na-bezos-601187.html,0.1818,0.1818
standart,https://www.standartnews.com/svyat/ek-s-loshi-novini-za-balgariya-istinata-za-zhilishtata-601185.html,0.0465,0.0465
standart,https://www.standartnews.com/sport/livarpul-s-izvanreden-hod-zaradi-tragediyata-s-zhota-601184.html,0.0000,0.0000
standart,https://www.standartnews.com/biznes/posochiha-nay-kachestvenite-i-nadezhdni-koli-601183.html,0.3582,0.3582
standart,https://www.standartnews.com/kultura/art-galeriya-vejdi-predstavya-kamennite-skulpturi-na-ognyan-chitakov-601182.html,0.4286,0.4286
AVERAGE,,0.1843,0.1843
